row_number,created_at,content,mem_id,role,weight,category,subcategory,updated_at,user_id,extra,original_embedding_dim,duplicate_count,source_mem_ids
25,2026-08-19T15:23:39.692122+08:00,2012年，用户的父亲与人合伙做生意赚了200万。,dream_334f8a3e4fccf0d24d60baf9,,1,episodic_memory,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013e968d83b2434d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_334f8a3e4fccf0d24d60baf9
13,2026-08-19T15:23:39.692122+08:00,2026年8月18日，用户的弟弟就读于中心小学,dream_fd0ea767965f17db8d4a4f7c,,1,episodic_memory,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013ea9ccb217893d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_fd0ea767965f17db8d4a4f7c
97,2026-08-19T15:23:39.692122+08:00,关于用户期末英语成绩存在冲突记录：一条记忆显示为95分，另一条显示为92分，且均关联2026年8月17日-23日这一时间段，无法确定哪一分数为最终准确值。,dream_6c4b2e1df786d4e129cb77b1,,1,episodic_memory,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013e11e0ca9f01fd31d74"",""01a013e11e0ca0e73ed31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_6c4b2e1df786d4e129cb77b1
175,2026-08-19T15:23:39.692122+08:00,在三大民工漫中，用户最喜欢《死神》的画风。,dream_931a8e1d460dda85c5c21268,,1,user_profile,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013d384c93750c2d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_931a8e1d460dda85c5c21268
6,2026-08-19T15:23:39.692122+08:00,大姨家购买了10万的白银和20万的黄金,dream_0777f9834ec6b9b74e08e8a0,,1,episodic_memory,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013eb0a910b32cdd31d74"",""01a013eb0a91fcff6fd31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_0777f9834ec6b9b74e08e8a0
5,2026-08-19T15:23:39.692122+08:00,奶奶尤其喜欢河北梆子，且习惯在上午听音乐,dream_49b6f36ad2fc4dfc56472609,,1,user_profile,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013eb0a91b37105d31d74"",""01a013eb0a91975872d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_49b6f36ad2fc4dfc56472609
170,2026-08-19T15:23:39.692122+08:00,张伟喜欢打篮球和玩密室逃脱。,dream_b0e00bbc0cf2580553a272d5,,1,semantic_memory,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013d41bbf578c1cd31d74"",""01a013d41bbf949fd2d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_b0e00bbc0cf2580553a272d5
213,2026-08-19T15:23:39.692122+08:00,用户不喜欢去医院,dream_8d44bb293c44adb45f2ba4c5,,1,user_profile,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013bfcb8dcd13d0d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_8d44bb293c44adb45f2ba4c5
206,2026-08-19T15:23:39.692122+08:00,用户不喜欢吃香菜和折耳根,dream_ddd247f363afd29d1479c167,,1,user_profile,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013c11f0942c60cd31d74"",""01a013c11f090737a3d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_ddd247f363afd29d1479c167
209,2026-08-19T15:23:39.692122+08:00,用户不喜欢打桌球，主要原因是觉得桌球太吵,dream_c14b9e77c387a29842fd83f6,,1,user_profile,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013c09ca4f030f5d31d74"",""01a013c09ca46e5355d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_c14b9e77c387a29842fd83f6
173,2026-08-19T15:23:39.692122+08:00,用户不喜欢无脑打斗类的战斗番（如龙珠），目前偏好观看智斗番或治愈番。,dream_51278926c38c6d7c9bb66e5a,,1,user_profile,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013d384c93e3ec7d31d74"",""01a013d384c9bc5857d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_51278926c38c6d7c9bb66e5a
121,2026-08-19T15:23:39.692122+08:00,用户不喜欢烧脑的内容,dream_ed140b3c92650068de0025b3,,1,user_profile,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013de6c253aa0e7d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_ed140b3c92650068de0025b3
51,2026-08-19T15:23:39.692122+08:00,用户不喜欢给孩子看恐怖片,dream_985833acc9f8c33510de5274,,1,user_profile,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013e640131ef9dcd31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_985833acc9f8c33510de5274
201,2026-08-19T15:23:39.692122+08:00,用户不喜欢英雄联盟，也不喜欢原神。,dream_578598b22af8831806df0bf5,,1,user_profile,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013c22c8e8c29e1d31d74"",""01a013c22c8e6add6ad31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_578598b22af8831806df0bf5
29,2026-08-19T15:23:39.692122+08:00,用户之前的英文名叫ashely，现在的英文名是jessica。,dream_12c2307f4d2777a643f0b240,,1,user_profile,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013e91ca5b01400d31d74"",""01a013e91ca597fb93d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_12c2307f4d2777a643f0b240
109,2026-08-19T15:23:39.692122+08:00,用户于2026年6月18日去医院复查，当时血压控制在130/85左右。,dream_bacddfe36df358de50f19b90,,1,episodic_memory,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013dfbecb954739d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_bacddfe36df358de50f19b90
102,2026-08-19T15:23:39.692122+08:00,用户从2019年开始每天抽一包烟，曾尝试用电子烟替代戒烟但失败。,dream_ff534d22779cd9d27b718f84,,1,user_profile,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013e0a1d8d4d14ad31d74"",""01a013e0a1d8fc40ead31d74""],""is_important"":true,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_ff534d22779cd9d27b718f84
172,2026-08-19T15:23:39.692122+08:00,用户以前每周约李明轩吃饭。,dream_91898e033ebc47230cce18e2,,1,episodic_memory,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013d41bbfe7ed95d31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_91898e033ebc47230cce18e2
74,2026-08-19T15:23:39.692122+08:00,用户会弹古筝、琵琶和古琴,dream_e1cfed889c5fb4a2d13589c7,,1,user_profile,,2026-08-19T15:23:39.692122+08:00,standalone_dreaming_recall_user,"{""source_memory_ids"":[""01a013e33c144e69f4d31d74"",""01a013e33c145552e6d31d74"",""01a013e33c1460af6dd31d74""],""is_important"":false,""model"":""qwen3.8:27b"",""temperature"":0.1,""top_p"":0.1}",1,1,dream_e1cfed889c5fb4a2d13589c7
